bfs_id,municipalityLabel,lat,lon
2087,Mézières,46.6785,6.9258
2089,Montet,46.65,6.8166666666667
2090,Morlens,46.650008,6.833336
2096,Romont,46.70013,6.91814
2097,Rue,46.616666666667,6.8166666666667
2099,Siviriez,46.65,6.8833333333333
2102,Ursy,46.633333333333,6.8333333333333
211,Altikon,47.573333333333,8.7808333333333
2113,Vuisternens-devant-Romont,46.65,6.9333333333333
2114,Villorsonnens,46.716666666667,7.0
2115,Torny,46.766666666667,6.9666666666667
2117,Villaz,46.719998,6.956669
2121,Haut-Intyamon,46.516944444444,7.0561111111111
2122,Pont-en-Ogoz,46.683333333333,7.0833333333333
2123,Botterens,46.616666666667,7.1166666666667
2124,Broc,46.6,7.1
2125,Bulle,46.616666666667,7.05
2125,Bulle,46.616666666667,7.05
2128,Châtel-sur-Montsalvens,46.616666666667,7.1333333333333
2129,Corbières,46.666666666667,7.1
213,Brütten,47.473055555556,8.6744444444444
2130,Crésuz,46.616666666667,7.1333333333333
2131,Echarlens,46.64583,7.07716
2134,Grandvillard,46.533333333333,7.0833333333333
2135,Gruyères,46.583611,7.081944
2137,Hauteville,46.666666666667,7.1166666666667
2138,Jaun,46.616666666667,7.2666666666667
214,Dägerlen,47.561944444444,8.7230555555556
2140,Marsens,46.65,7.0666666666667
2143,Morlon,46.633333333333,7.0833333333333
2145,Le Pâquier,46.594277777778,7.0551944444444
2147,Pont-la-Ville,46.7,7.1166666666667
2148,Riaz,46.633333333333,7.0666666666667
2149,La Roche,46.7,7.1333333333333
215,Dättlikon,47.526111111111,8.6252777777778
2152,Sâles,46.633333333333,6.9666666666667
2153,Sorens,46.666666666667,7.0666666666667
2155,Vaulruz,46.616666666667,6.9833333333333
216,Dinhard,47.5575,8.7697222222222
2160,Vuadens,46.616666666667,7.0166666666667
2162,Bas-Intyamon,46.566666666667,7.0833333333333
2163,Val-de-Charmey,46.618888888889,7.1647222222222
2173,Autigny,46.73984,7.02746
2174,Avry,46.783333333333,7.0666666666667
2175,Belfaux,46.82873,7.09504
2177,Chénens,46.733333333333,7.0
218,Ellikon an der Thur,47.56307,8.82418
